Page,Titre,Prix,URL,Année,Boite,Carburant,Couleur du véhicule,Cylindrée,Etat du véhicule,Kilométrage,Marque,Modèle,Puissance fiscale,Type de carrosserie
1,E300 kit AMG,1234DT,https://www.tayara.tn/item/687e83d4d5464a896cb29753/Voitures/Sousse/Sousse_Jawhara/E300_kit_AMG/,2021,Automatique,Hybride essence,Noir,2.0L,Avec kilométrage,44000,Mercedes-Benz,Classe E,12,Berline
1,AUDI A7 NEUF,280000DT,https://www.tayara.tn/item/68d25e0b516f1ddb82e10929/Voitures/Ariana/Cit_Ennasr_2/AUDI_A7_NEUF/,2019,Automatique,Essence,Noir,3.0L,Nouveau,22000,Audi,A7,23,Berline
1,Mercedes GLA 220d,145000DT,https://www.tayara.tn/item/68be16c8985e647fd0ea19bf/Voitures/Tunis/L_Aouina/Mercedes_GLA_220d/,2017,Automatique,Diesel,Gris,2.2L,RS,68000,Mercedes-Benz,Classe GLA,9,
1,Renault megane 4 sedan,53000DT,https://www.tayara.tn/item/6817d294c1f8f57898e9fd20/Voitures/Ariana/Ariana/_Renault_megane_4_sedan/,2021,Manuelle,Essence,Noir,1.2L,Avec kilométrage,60000,Renault,Megane,7,Berline
1,Ford Ecosport,52000DT,https://www.tayara.tn/item/6894c54bfde7ee723b46e0a2/Voitures/Ben_Arous/Boumhel/Ford_Ecosport/,2020,Manuelle,Essence,Bleu,<1.0L,Nouveau,62000,Ford,ECOSPORT,6,Compacte
1,Seat Arona,72500DT,https://www.tayara.tn/item/6894c2d7fde7ee723b46de5f/Voitures/Ben_Arous/Boumhel/Seat_Arona/,2023,Automatique,Essence,Bleu,<1.0L,Nouveau,102000,Seat,Arosa,6,Compacte
1,Grand I10 boite automatique,N/A,https://www.tayara.tn/item/68d3ca30516f1ddb82e1f175/Voitures/Nabeul/Dar_Chabane_El_Fehri/Grand_I10_boite_automatique/,,,Essence,Rouge,,,,Hyundai,Grand i10,4,
1,BMW F30 316i Sport Essence,55000DT,https://www.tayara.tn/item/6874dc29d5464a896cab9419/Voitures/Ariana/Ariana/BMW_F30_316i_Sport_Essence/,2013,Automatique,Essence,Gris,1.6L,Avec kilométrage,156000,BMW,Serie 3,7,Berline
1,GLA250e kit AMG,1234DT,https://www.tayara.tn/item/68d033e5516f1ddb82dfc506/Voitures/Sousse/Sousse_Jawhara/GLA250e_kit_AMG/,2021,Automatique,Hybride essence,Rouge,1.4L,Avec kilométrage,82000,Mercedes-Benz,Classe GLA,8,Berline
1,TIGGO 7 PRO: une vraie occasion en toutes options,69500DT,https://www.tayara.tn/item/687e87d9d5464a896cb29aaf/Voitures/Tunis/El_Manar_2/TIGGO_7_PRO_une_vraie_occasion_en_toutes_options/,2023,Automatique,Essence,Noir,,,67000,Chery,Tiggo,9,Autres
1,I20 1.2 françaises,58500DT,https://www.tayara.tn/item/68ce8cfc07c7711d7c71294b/Voitures/Mdenine/Djerba_Ajim/I20_12_franaises_/,2021,Manuelle,Essence,Blanc,1.2L,Nouveau,113000,Hyundai,I 20,4,Compacte
1,Renault Scénic 4 nouveau importé de France boîte automatique diesel appeler le 29746445,N/A,https://www.tayara.tn/item/68d1132a27f4444694115536/Voitures/La_Manouba/Douar_Hicher/Renault_Scnic_4_nouveau_import_de_France_bote_automatique_diesel_appeler_le_29746445/,2020,Automatique,Diesel,Gris,1.7L,Nouveau,180,Renault,Scenic,1.7,Monospace
1,Belle Ford Focus Sedan,85000DT,https://www.tayara.tn/item/68d31455516f1ddb82e1a82d/Voitures/Tunis/La_Marsa/Belle_Ford_Focus_Sedan/,2023,Automatique,Essence,Blanc,1.5L,Avec kilométrage,33000,Ford,Focus,7,Berline
1,📢 À VENDRE – Mercedes-Benz E180 AMG Line -,123456DT,https://www.tayara.tn/item/68d29da9516f1ddb82e145b3/Voitures/Monastir/Tboulba/_VENDRE_MercedesBenz_E180_AMG_Line_/,2017,Automatique,Essence,Noir,1.6L,Avec kilométrage,180000,Mercedes-Benz,Classe E,9,Berline
1,Vente peugeot 2008,52000DT,https://www.tayara.tn/item/68c49e47e33e2deec93065d6/Voitures/Tunis/El_Manar_2/Vente_peugeot_2008/,2019,Automatique,Essence,Gris,1.2L,Nouveau,30000,Peugeot,2008,06,Autres
1,Mercedes C250 kit AMG Line,78000DT,https://www.tayara.tn/item/68a732e03398639ecd914377/Voitures/Mahdia/Mahdia/Mercedes_C250_kit_AMG_Line_/,2015,Automatique,Essence,Gris,2.0L,Avec kilométrage,217000,Mercedes-Benz,Classe C Coupe,12,Berline
1,Hyundai i30,77DT,https://www.tayara.tn/item/68d84b5707c7711d7c774548/Voitures/Tunis/Tunis/Hyundai_i30/,2020,Manuelle,Diesel,Blanc,1.6L,Avec kilométrage,94000,Hyundai,I 30,6,Berline
1,Voiture,50000DT,https://www.tayara.tn/item/68d849b107c7711d7c7743dd/Voitures/Kasserine/Kasserine/Voiture_/,2022,Manuelle,Essence,Rouge,3.0L,Avec kilométrage,70000,Opel,Corsa,,Autres
1,Hyundai IX35 importée 🇩🇪,N/A,https://www.tayara.tn/item/68d8492d07c7711d7c77437c/Voitures/Tunis/Tunis/Hyundai_IX35_importe_/,2012,Manuelle,Diesel,Noir,1.7L,Avec kilométrage,224000,Hyundai,Ix 35,8,4 x 4
1,"Mercedes c200 anne 2009 klm 284.000
Avantgarde en tres bon etat moteur OM 646 bosh 
4 pneu neuuf 17 pouce 
Avendre ou echange dsiponible gafsa centre
en tres bon etat",40DT,https://www.tayara.tn/item/68d846a4516f1ddb82e4bd86/Voitures/Gafsa/Gafsa/Mercedes_c200_anne_2009_klm_284000Avantgarde_en_tres_bon_etat_moteur_OM_646_bosh_4_pneu_neuuf_17_pouce_Avendre_ou_echange_dsiponible_gafsa_centreen_tres_bon_etat_/,2009,Automatique,Diesel,Noir,2.2L,Nouveau,284,Mercedes-Benz,Classe C Coupe,7,Berline
1,cla pack night,140000DT,https://www.tayara.tn/item/6855c1c594cd0376dcc9be12/Voitures/Tunis/Lac_2/cla_pack_night_/,2021,Automatique,Essence,Blanc,1.5L,Avec kilométrage,72000,Mercedes-Benz,Classe CLA,7,Berline
1,Ford fiesta,31500DT,https://www.tayara.tn/item/68d842eb516f1ddb82e4ba9a/Voitures/Kairouan/Kairouan/Ford_fiesta_/,2016,Manuelle,Essence,Bleu,1.2L,Avec kilométrage,169000,Ford,Fiesta,5,Autres
1,passat b7 tdi blue motion,12333DT,https://www.tayara.tn/item/68d842c607c7711d7c773e59/Voitures/Le_Kef/Autres_Villes/passat_b7_tdi_blue_motion_/,2010,Manuelle,Diesel,Noir,1.6L,Nouveau,200,Volkswagen,Passat CC,5,Berline
1,Watsap0033 6 35 35 44 90 //+21698184481,45DT,https://www.tayara.tn/item/68d84214516f1ddb82e4b9f5/Voitures/Sousse/M_Saken/Watsap0033_6_35_35_44_90_21698184481/,2021,,,,,RS,,Renault,Megane,,
1,Golf 8 GTE,99000DT,https://www.tayara.tn/item/68d84184516f1ddb82e4b96e/Voitures/Tunis/La_Marsa/Golf_8_GTE/,,,Essence,Gris,1.4L,,43000,Volkswagen,Golf 8,,Compacte
1,Peugeot 301,23.5DT,https://www.tayara.tn/item/68d83f7407c7711d7c773ba7/Voitures/Tunis/El_Ouardia/Peugeot_301/,2018,Manuelle,Essence,Gris,,Avec kilométrage,141,Peugeot,301,5,Berline
1,Hyundai Grand i10,36000DT,https://www.tayara.tn/item/68d83e6507c7711d7c773ab9/Voitures/Sfax/Sakiet_Eddaer/Hyundai_Grand_i10/,1917,Manuelle,Essence,Blanc,1.2L,Nouveau,112000,Hyundai,I 10,5,
1,Volkswagen polo 7 neuf,N/A,https://www.tayara.tn/item/68d83dd307c7711d7c773a3a/Voitures/Ben_Arous/El_Mourouj/Volkswagen_polo_7_neuf/,2014,Manuelle,Essence,Noir,1.2L,Nouveau,121,Volkswagen,Polo,5,Berline
1,PEUGEOT RIFTER,N/A,https://www.tayara.tn/item/68d83dc907c7711d7c773a30/Voitures/Sousse/Khzema/PEUGEOT_RIFTER/,2021,Automatique,Diesel,Noir,1.6L,Avec kilométrage,141000,Peugeot,Partner,7,Berline
1,Mégane 4,N/A,https://www.tayara.tn/item/68d83da2516f1ddb82e4b63d/Voitures/Monastir/Monastir/Mgane_4_/,2020,Manuelle,Diesel,Gris,1.5L,Nouveau,160000,Renault,Megane,6,Compacte
1,"À VENDRE : Toyota CH-R – Année 2021,  Très bon état",81000DT,https://www.tayara.tn/item/68d83bf007c7711d7c773893/Voitures/Sfax/Sfax/_VENDRE_Toyota_CHR_Anne_2021_Trs_bon_tat/,2021,Automatique,Essence,Autre,1.2L,Avec kilométrage,113900,Toyota,C-HR,6,Autres
1,CITROËN C 3 PREMIÈRE MAIN EN ÉTAT NEUF,34500DT,https://www.tayara.tn/item/68d83b6f516f1ddb82e4b472/Voitures/Ariana/Borj_Louzir/CITRON_C_3_PREMIRE_MAIN_EN_TAT_NEUF_/,2020,Manuelle,Essence,Noir,1.2L,Avec kilométrage,90000,Citroen,C3,4,Berline
1,CITROËN C 3 PREMIÈRE MAIN EN ÉTAT NEUF,34500DT,https://www.tayara.tn/item/68d83b28516f1ddb82e4b433/Voitures/Ariana/Borj_Louzir/CITRON_C_3_PREMIRE_MAIN_EN_TAT_NEUF_/,2020,Manuelle,Essence,Noir,1.2L,Avec kilométrage,90000,Citroen,C35,4,Berline
1,voiture,N/A,https://www.tayara.tn/item/68d8395f516f1ddb82e4b2a8/Voitures/Ben_Arous/Rads/voiture_/,2023,Automatique,Essence,Blanc,3.0L,Avec kilométrage,48000,Seat,Ibiza,6,Compacte
1,huyndai i10 boite auto,N/A,https://www.tayara.tn/item/68d836f7516f1ddb82e4b0d0/Voitures/Ariana/Borj_Louzir/huyndai_i10_boite_auto_/,2022,Automatique,Essence,Noir,1.2L,Nouveau,116,Hyundai,I 10,5,Compacte
1,renault trafic,5700DT,https://www.tayara.tn/item/68d8315b516f1ddb82e4acbd/Voitures/Sfax/El_Amra/renault_trafic/,2000,Manuelle,Diesel,Blanc,<1.0L,Avec kilométrage,350000,Renault,Trafic,06,Autres
1,Ibiza xcellence,54000DT,https://www.tayara.tn/item/68d8309e07c7711d7c772f98/Voitures/Ben_Arous/Medina_Jedida/Ibiza_xcellence_/,2020,Manuelle,Essence,Blanc,<1.0L,Avec kilométrage,112000,Seat,Ibiza,5,Compacte
1,Citroën c1 importer,N/A,https://www.tayara.tn/item/68d8303b07c7711d7c772f5c/Voitures/Tunis/Tunis_Belvedere/Citron_c1_importer_/,2021,Manuelle,Essence,Noir,<1.0L,Avec kilométrage,105,Citroen,C1,4,Berline
1,Golf 8 Tsi à vendre,82000DT,https://www.tayara.tn/item/68d82e9107c7711d7c772e17/Voitures/Sousse/Sousse/Golf_8_Tsi_vendre/,2021,,Essence,Vert,1.8L,Avec kilométrage,95000,Volkswagen,Golf,6,Compacte
1,Fiat 500c cabriolet,29500DT,https://www.tayara.tn/item/68d82e2707c7711d7c772dc6/Voitures/Tunis/Ain_Zaghouen/Fiat_500c_cabriolet_/,2011,Manuelle,Essence,Blanc,1.1L,Avec kilométrage,176000,Fiat,500C,4,Compacte
1,Nissan Qashqai Tekna+,82000DT,https://www.tayara.tn/item/68d82ce8516f1ddb82e4a954/Voitures/Ariana/La_Soukra/Nissan_Qashqai_Tekna/,2018,Automatique,Essence,Blanc,1.2L,Avec kilométrage,63000,Nissan,Qashqai,6,Compacte
1,Suzuki ertiga BVA GLX 7 places,53000DT,https://www.tayara.tn/item/68d82cae07c7711d7c772c88/Voitures/Ariana/La_Soukra/Suzuki_ertiga_BVA_GLX_7_places_/,2021,Automatique,Essence,Noir,1.5L,Avec kilométrage,92000,Suzuki,Grand Vitara,6,Monospace
1,Suzuki Vitara BVA TOIT OUVRANT,56500DT,https://www.tayara.tn/item/68d82ca407c7711d7c772c7c/Voitures/Ariana/La_Soukra/Suzuki_Vitara_BVA_TOIT_OUVRANT_/,2017,Automatique,Essence,Orange,1.6L,Avec kilométrage,205000,Suzuki,Vitara,6,4 x 4
1,Peugeot 208,28500DT,https://www.tayara.tn/item/68d82c85516f1ddb82e4a8f2/Voitures/Ariana/La_Soukra/Peugeot_208/,2020,Manuelle,Essence,Noir,1.2L,Avec kilométrage,133000,Peugeot,208,5,Compacte
1,Dacia Sandero 2023,38900DT,https://www.tayara.tn/item/68d82c79516f1ddb82e4a8e8/Voitures/Ariana/La_Soukra/Dacia_Sandero_2023/,2023,Manuelle,Essence,Bleu,<1.0L,Avec kilométrage,112000,Dacia,Sandero,5,Compacte
1,Renault Express,15000DT,https://www.tayara.tn/item/68d82be607c7711d7c772bc0/Voitures/Ariana/Ariana/Renault_Express/,2024,Manuelle,Diesel,Blanc,1.5L,Avec kilométrage,75000,Renault,Express,5,Utilitaire
2,7 places tiggo 8 jdida bacou,N/A,https://www.tayara.tn/item/68d82bd707c7711d7c772bb5/Voitures/Sfax/Sfax/7_places_tiggo_8_jdida_bacou_/,2022,Automatique,Essence,Bleu,1.5L,Nouveau,55000,Chery,Tiggo,9,4 x 4
2,تصليح كراسي الشاحنات,N/A,https://www.tayara.tn/item/68d82bc7516f1ddb82e4a84d/Voitures/Ben_Arous/Ben_Arous/_/,2025,Automatique,Diesel,Doré,1.8L,Nouveau,1,Iveco,Trakker,1,Compacte
2,Mégane 2 dci 1.5 Delphi,18500DT,https://www.tayara.tn/item/68d82a8107c7711d7c772a9b/Voitures/Monastir/Sahline/Mgane_2_dci_15_Delphi/,2003,Manuelle,Diesel,,,,20000,,,5,
2,Renault megane fin 2014,42000DT,https://www.tayara.tn/item/68d827d607c7711d7c7728c6/Voitures/Sousse/Enfidha/Renault_megane_fin_2014/,2014,Manuelle,Diesel,Noir,1.5L,Avec kilométrage,200000,Renault,Megane,5,Compacte
2,MERCEDES W212 - Essence 173MKM,78000DT,https://www.tayara.tn/item/68d827bf07c7711d7c7728ad/Voitures/Sfax/Sfax/MERCEDES_W212_Essence_173MKM/,2015,Automatique,Essence,Noir,1.8L,Avec kilométrage,173000,Mercedes-Benz,Classe E,9,Berline
